id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1473174864034816000,1472729795632922627,2021-12-21 14:13:52 Malay Peninsula Standard Time,2021-12-21,14:13:52,+0800,1286295594571448321,hkya13,Hkya Shauqi,,"@AdjieSSoera @budimandjatmiko @jokowi berkalkulasi saat Pandemic rasanya gak elok dan gak maju2. Sll aja ada cerita klo apa2 yg dibangun itu akan di jual Aseng, asing dan Oseng2. Trus yg bayar anak cucu,bla..bla..bla.. yg bodoh kayak saya ini aja bengong lihat narasi bgn.",in,[],[],[],0,0,1,[],[],https://twitter.com/Hkya13/status/1473174864034816000,False,,0,,,"1.290270,103.851959,30km",,,,,"[{'screen_name': 'AdjieSSoera', 'name': 'adjie s soera', 'id': '99946378'}, {'screen_name': 'budimandjatmiko', 'name': 'Budiman Sudjatmiko (IG: masbud_sudjatmiko)', 'id': '183217247'}, {'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': '366987179'}]",,,,
1472897153341161473,1472897153341161473,2021-12-20 19:50:21 Malay Peninsula Standard Time,2021-12-20,19:50:21,+0800,117806637,adyadyva,o_0,,"Yg penting baju dh buat sejak December 2019, xdpt pakai sbb pandemic sepanjang 2020/2021. Xde Majlis/event yg boleh pergi/digayakan.  Simpan smpai hujung tahun 2021. Hahaha...  P/S : Ada lagi beberapa helai tggu turn utk Dipakai.....xde sapa nak jemput Kita ke??  https://t.co/YiKkiBUvbY",in,[],[],['https://pbs.twimg.com/media/FHDIJeaVgAAD7pC.jpg'],1,0,0,[],[],https://twitter.com/AdyAdyva/status/1472897153341161473,False,,1,https://pbs.twimg.com/media/FHDIJeaVgAAD7pC.jpg,,"1.290270,103.851959,30km",,,,,[],,,,
1472896572593561601,1472896572593561601,2021-12-20 19:48:02 Malay Peninsula Standard Time,2021-12-20,19:48:02,+0800,483847052,mimi_covergal,Mimi Wan K,,It’s devastating to learn and watch the news and social media’s on the situation in our neighbouring countries may Allah ease everyone facing helplessly with the situation plus with the ongoing pandemic still arising.,en,[],[],[],0,0,0,[],[],https://twitter.com/Mimi_Covergal/status/1472896572593561601,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1471770944720883714,1471770944720883714,2021-12-17 17:15:12 Malay Peninsula Standard Time,2021-12-17,17:15:12,+0800,68087176,bryanbma,Bryan Ma,,Monitors -7% YoY in 3Q21; 1st time since pandemic started. 2021 still exp +5% tho. Top 5 rankings unchanged w/Dell leading  https://t.co/jkiH75ojIl  https://t.co/5UyQ2zxBvO,en,[],['https://www.idc.com/getdoc.jsp?containerId=prUS48594121'],['https://pbs.twimg.com/media/FGzH32BVgAQbgyU.jpg'],0,1,0,[],[],https://twitter.com/bryanbma/status/1471770944720883714,False,,1,https://pbs.twimg.com/media/FGzH32BVgAQbgyU.jpg,,"1.290270,103.851959,30km",,,,,[],,,,
1471423876672286722,1471417450537185283,2021-12-16 18:16:04 Malay Peninsula Standard Time,2021-12-16,18:16:04,+0800,590092362,genesitkun,Geno Dela Torpe,,@euniceyyyyy haha mumsh dasurv after this pandemic pagod 😭,en,[],[],[],0,0,0,[],[],https://twitter.com/GenesitKUN/status/1471423876672286722,False,,0,,,"1.290270,103.851959,30km",,,,,"[{'screen_name': 'euniceyyyyy', 'name': 'Eunice ❤', 'id': '302415855'}]",,,,
1471328132640940033,1471224986098540545,2021-12-16 11:55:37 Malay Peninsula Standard Time,2021-12-16,11:55:37,+0800,7928922,sufw,Sascha Wenninger 🌻,,"@kimhonan Yes, of course. As is everyone else in Singapore as it’s a legal requirement. But also sensible in a pandemic.",en,[],[],[],0,0,2,[],[],https://twitter.com/sufw/status/1471328132640940033,False,,0,,,"1.290270,103.851959,30km",,,,,"[{'screen_name': 'kimhonan', 'name': 'Kim Honan', 'id': '146399468'}]",,,,
1471183034091069445,1471183034091069445,2021-12-16 02:19:03 Malay Peninsula Standard Time,2021-12-16,02:19:03,+0800,1393732860,shermannatrix,sнєямαηηαтяιχ 🇸🇬 🇺🇦,,"I really missed the kind of care-free freedom we used to experience before the pandemic came along. We could go anywhere, anytime, no masks on and never have to think twice. Something I think most of us have really taken for granted.",en,[],[],[],0,0,1,[],[],https://twitter.com/shermannatrix/status/1471183034091069445,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1471182752850407426,1471182752850407426,2021-12-16 02:17:56 Malay Peninsula Standard Time,2021-12-16,02:17:56,+0800,1393732860,shermannatrix,sнєямαηηαтяιχ 🇸🇬 🇺🇦,,I wanna be straight with you and upfront about it. It's coming to 2 years of this whole pandemic shit. I am exhausted. And I really just want it to be over alr. But it isn't. How long is this going to last?,en,[],[],[],0,0,1,[],[],https://twitter.com/shermannatrix/status/1471182752850407426,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1470645005798678530,1470645005798678530,2021-12-14 14:41:07 Malay Peninsula Standard Time,2021-12-14,14:41:07,+0800,238086492,nictophile,Nicole 🏳️‍🌈 is reading UCB's book,,"Me to a friend: ""you ever feel like this wp vs pap shit is being played up ttm because they needed a distraction for mishandling the pandemic""",en,[],[],[],0,0,2,[],[],https://twitter.com/nictophile/status/1470645005798678530,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1469731126440697869,1469698940542930944,2021-12-12 02:09:41 Malay Peninsula Standard Time,2021-12-12,02:09:41,+0800,1965093277,dayizzzi,Izz,,"@mfhdoom Tbh take full advantage of this  pandemic time/era. Rn its like 100 pax, no need test before entering venue, for like 5K(depends on venue). Split btwn u and ur partner then guest list 50 each. Swee chai. Settle.",en,[],[],[],0,0,0,[],[],https://twitter.com/dayizzzi/status/1469731126440697869,False,,0,,,"1.290270,103.851959,30km",,,,,"[{'screen_name': 'mfhdoom', 'name': 'pandemic survivor', 'id': '844998061'}]",,,,
1469097934448840705,1469097927696019459,2021-12-10 08:13:36 Malay Peninsula Standard Time,2021-12-10,08:13:36,+0800,25041853,aperfectcircle0,waynecheong.eth ᵍᵐ,,"industry which has just been getting destroyed, more and more, year after year especially with the pandemic infinitely affecting touring schedule causing cancellations, postponement and a reduced turnout. How do they pivot? For one example, you can see there's a company that's",en,[],[],[],1,0,0,[],[],https://twitter.com/aperfectcircle0/status/1469097934448840705,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1468449667834781696,1468449667834781696,2021-12-08 13:17:37 Malay Peninsula Standard Time,2021-12-08,13:17:37,+0800,188347682,temptempholder,C programmer + math. investor needed.,,People Dunno what is virus. And pandemic,en,[],[],[],0,0,0,[],[],https://twitter.com/temptempholder/status/1468449667834781696,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1467923887165874177,1467923887165874177,2021-12-07 02:28:22 Malay Peninsula Standard Time,2021-12-07,02:28:22,+0800,188347682,temptempholder,C programmer + math. investor needed.,,I pretty sure we have made huge blunder past two years and next three years on pandemic.  And then it will be written into textbook in 2035 where 16 Ur old kids (born as baby today)  Will learn all the school boy error we have made that worsen trajectory of pandemic.,en,[],[],[],0,0,0,[],[],https://twitter.com/temptempholder/status/1467923887165874177,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
1467886040564133893,1467886040564133893,2021-12-06 23:57:58 Malay Peninsula Standard Time,2021-12-06,23:57:58,+0800,188347682,temptempholder,C programmer + math. investor needed.,,Just does not mean there never has been a serious pandemic means covid19 type will not happen   Just because covid kill only 0.2% or so of population does not mean  That a 5% killed will not be next on card. 350 million deaths.,en,[],[],[],0,0,0,[],[],https://twitter.com/temptempholder/status/1467886040564133893,False,,0,,,"1.290270,103.851959,30km",,,,,[],,,,
